Chain,ChainID,RPC,BlockExplorer,Stage
mainnet,1,eth-mainnet.g.alchemy.com/v2/,etherscan.io/block/,mainnet
ropsten,3,ropsten.infura.io/v3/,ropsten.etherscan.io/block/,testnet
rinkeby,4,rinkeby.infura.io/v3/,rinkeby.etherscan.io/block/,testnet
goerli,5,eth-goerli.g.alchemy.com/v2/,goerli.etherscan.io/block/,testnet
bsc,56,bsc-dataseed.binance.org/,bscscan.com/block/,mainnet
bsc_test,97,data-seed-prebsc-1-s1.binance.org:8545,testnet.bscscan.com/block/,testnet
matic,137,polygon-rpc.com/,polygonscan.com/block/,mainnet
matic_mumbai,80001,polygon-mumbai.g.alchemy.com/v2/,mumbai.polygonscan.com/block/,testnet
arbitrum,42161,arb1.arbitrum.io/rpc,explorer.arbitrum.io/block/,mainnet
arbitrum_rinkeby,421611,rinkeby.arbitrum.io/rpc,rinkeby-explorer.arbitrum.io/block/,testnet
optimism,10,opt-mainnet.g.alchemy.com/v2/,optimistic.etherscan.io/block/,mainnet
optimism_kovan,69,optimism-kovan.infura.io/v3/,kovan-optimistic.etherscan.io/batch/,testnet
optimism_goerli,420,opt-goerli.g.alchemy.com/v2/,goerli-optimism.etherscan.io/block/,testnet
xdai,100,rpc.xdaichain.com,blockscout.com/xdai/mainnet/blocks/,mainnet
fantom,250,rpcapi.fantom.network,ftmscan.com/block/,mainnet
celo,42220,forno.celo.org,explorer.celo.org/block/,mainnet
avalanche,43114,api.avax.network/ext/bc/C/rpc,snowtrace.io/block/,mainnet
avalanche_test,43113,api.avax-test.network/ext/bc/C/rpc,testnet.snowtrace.io/block/,testnet
aurora,1313161554,mainnet.aurora.dev,explorer.mainnet.aurora.dev/block/,mainnet
aurora_test,1313161555,testnet.aurora.dev/,explorer.testnet.aurora.dev/block/,testnet
fuse,122,rpc.fuse.io,explorer.fuse.io/block/,mainnet
boba,288,mainnet.boba.network/,blockexplorer.boba.network/blocks/,mainnet
boba_test,28,rinkeby.boba.network/,blockexplorer.rinkeby.boba.network/blocks/,testnet
metis,1088,andromeda.metis.io/?owner=1088,andromeda-explorer.metis.io/block/,mainnet
metis_test,588,stardust.metis.io/?owner=588,stardust-explorer.metis.io/block/,testnet
moonriver,1285,rpc.moonriver.moonbeam.network,moonriver.moonscan.io/block/,mainnet
conflux_espace,1030,evm.confluxrpc.com,evm.confluxscan.io/block/,mainnet
conflux_espace_test,71,evmtestnet.confluxrpc.com,evmtestnet.confluxscan.io/block/,testnet
harmony,1666600000,api.harmony.one,explorer.harmony.one/block/,mainnet
harmony_test,1666700000,api.s0.b.hmny.io,explorer.pops.one/block/,testnet
kardia,24,rpc.kardiachain.io,explorer.kardiachain.io/block/,mainnet
astar,592,astar.api.onfinality.io/public,blockscout.com/astar/block/,mainnet
base,8453,mainnet.base.org,basescan.org/block/,mainnet
base_goerli,84531,goerli.base.org,goerli.basescan.org/block/,testnet
scroll_sepolia,534351,sepolia-rpc.scroll.io,sepolia-blockscout.scroll.io/block/,testnet
scroll,534352,rpc.scroll.io,scrollscan.com/block/,mainnet
